GDP,Average_Disposable_Income,Number_of_Health_Care_Institutions,Urban_Population,Rural_Population,Mobile_Internet_User,Number_medical_insurance,Aging_of_Population,5g_base_station,5g_user,Under_Graduate,Post_Graduate,Top_Rank_University,Public_Expenditure,Educational_Expenditure,Science_Expenditure,Insurance_Expenditure,Health_Expenditure,confirmedCount_end,suspectedCount_end,curedCount_end,deadCount_end,Urban_Portion,Edu_ratio,Sci_ratio,Ins_ratio,Hea_ratio,counts
129118.58,47065.0,59500,9465.4,3191.4,15097.28,11271.9,0.136803841,226000,6085.2,267.09,21.1,8,18509.93,3873.61,984.61,2149.01,2075.91,55674,25.0,46123,8,0.7478509575880159,0.20927199616638203,0.05319361013250726,0.11610038503657227,0.11215115346195258,3089
26300.87,27981.0,34502,2809.0,2238.0,5177.8,5249.3,0.13042324,66000,1785.9,140.75,6.41,1,7122.0,1139.0,102.0,987.0,636.0,2431,0.0,2394,2,0.5565682583713097,0.15992698680146025,0.014321819713563605,0.13858466722830665,0.08930075821398484,312
6818.22,30957.0,6430,631.51,395.51,989.43,938.8,0.12589274,18000,416.1,20.0,1.5,1,2210.0,311.0,49.0,260.0,197.0,10287,18.0,9103,6,0.6148955229693677,0.1407239819004525,0.022171945701357467,0.11764705882352941,0.08914027149321267,96
29129.03,35666.0,22243,2280.32,933.02,3448.03,3261.7,0.124062115,80000,1250.7,106.61,10.55,2,4179.0,148.0,27.0,577.0,188.0,8542,15.0,6627,7,0.7096416812413252,0.035415171093563055,0.006460875807609476,0.13807130892558028,0.0449868389566882,2131
56749.8,30679.0,74123,4886.2,3487.8,8400.4,8586.2,0.117628315,108000,2985.8,205.2,15.9,8,11914.0,1863.0,229.0,2238.0,1171.0,11315,22.0,9929,5,0.5834965368999283,0.15637065637065636,0.01922108443847574,0.18784623132449219,0.09828772872251133,758
19458.6,23996.0,29292,2093.0,1759.0,3811.02,4214.5,0.115372475,80000,1396.8,88.16,3.17,1,5849.0,1154.0,88.0,737.0,583.0,1756,0.0,1514,2,0.5433541017653167,0.1972986835356471,0.015045306890066678,0.12600444520430842,0.09967515814669174,112
28954.2,26937.0,27527,2427.0,2266.0,4275.14,4521.9,0.112748354,64000,1591.7,145.27,7.16,1,6699.7,1164.9,45.0,353.1,221.8,5007,23.0,4072,2,0.5171532069038994,0.1738734570204636,0.006716718659044435,0.052703852411302,0.033105959968356795,220
2080.2,24950.0,6907,134.0,232.0,299.8,346.0,0.108148148,8100,79.8,4.1304,0.4255,1,4.0,0.0,0.0,0.03,0.02,1522,0.0,1515,0,0.366120218579235,0.0,0.0,0.0075,0.005,7
32772.68,30116.0,34779,2532.0,1424.0,4115.16,3891.6,0.100547017,59000,1565.4,130.44,20.16,8,5602.3,1060.0,109.8,1071.5,668.2,5462,4.0,4846,3,0.6400404448938322,0.18920800385555933,0.019599093229566426,0.19126073219927528,0.11927244167574033,502
11201.6,23273.1,25267,1350.64,1141.78,2434.24,2587.2,0.098902846,28000,886.9,50.0,125.0,1,2964.0,123.0,0.8,205.0,171.0,1561,0.0,1529,2,0.5418990378828609,0.04149797570850203,0.0002699055330634278,0.06916329284750337,0.057692307692307696,118
3610.07,27000.0,6408,366.0,229.0,609.07,567.0,0.091201429,10000,243.2,10.26,0.9918,1,2182.0,229.0,11.0,325.0,185.0,510,0.0,482,0,0.6151260504201681,0.10494958753437214,0.005041246562786435,0.14894592117323557,0.0847846012832264,22
4588.2,27905.0,4571,479.0,246.0,750.82,663.4,0.080832756,9400,323.0,17.25,1.1527,1,1583.0,212.0,25.0,273.0,136.0,238,0.0,237,0,0.6606896551724138,0.13392293114339862,0.015792798483891344,0.1724573594440935,0.08591282375236892,46
17741.34,27063.0,15040,1498.0,1089.0,2435.4,2326.4,0.0580945,33000,783.9,61.14,4.33,2,5726.1,974.5,48.7,707.4,506.3,2632,0.0,2602,3,0.5790490916119057,0.17018564118684618,0.008504916085992211,0.12353958191439199,0.08841969228619828,120
