,hour,counts,ratio
0,0.0,1096,0.7440597420230821
1,1.0,222,0.15071283095723015
2,2.0,43,0.029192124915139173
3,3.0,8,0.005431093007467753
4,4.0,4,0.0027155465037338763
5,5.0,7,0.0047522063815342835
6,6.0,2,0.0013577732518669382
7,7.0,5,0.0033944331296673455
8,8.0,3,0.002036659877800407
9,9.0,1,0.0006788866259334691
10,10.0,1,0.0006788866259334691
11,11.0,4,0.0027155465037338763
12,12.0,1,0.0006788866259334691
13,13.0,4,0.0027155465037338763
14,14.0,1,0.0006788866259334691
15,15.0,1,0.0006788866259334691
16,18.0,1,0.0006788866259334691
17,19.0,1,0.0006788866259334691
18,21.0,1,0.0006788866259334691
19,23.0,1,0.0006788866259334691
20,24.0,1,0.0006788866259334691
21,27.0,2,0.0013577732518669382
22,28.0,1,0.0006788866259334691
23,30.0,2,0.0013577732518669382
24,36.0,1,0.0006788866259334691
25,37.0,1,0.0006788866259334691
26,38.0,2,0.0013577732518669382
27,41.0,1,0.0006788866259334691
28,64.0,1,0.0006788866259334691
29,75.0,1,0.0006788866259334691
30,96.0,1,0.0006788866259334691
31,102.0,2,0.0013577732518669382
32,110.0,1,0.0006788866259334691
33,111.0,1,0.0006788866259334691
34,115.0,1,0.0006788866259334691
35,116.0,1,0.0006788866259334691
36,120.0,1,0.0006788866259334691
37,127.0,1,0.0006788866259334691
38,128.0,1,0.0006788866259334691
39,144.0,1,0.0006788866259334691
40,150.0,1,0.0006788866259334691
41,186.0,1,0.0006788866259334691
42,200.0,1,0.0006788866259334691
43,222.0,1,0.0006788866259334691
44,240.0,1,0.0006788866259334691
45,262.0,1,0.0006788866259334691
46,280.0,1,0.0006788866259334691
47,408.0,1,0.0006788866259334691
48,462.0,1,0.0006788866259334691
49,1012.0,1,0.0006788866259334691
50,1092.0,1,0.0006788866259334691
51,1099.0,1,0.0006788866259334691
52,1138.0,1,0.0006788866259334691
53,1153.0,1,0.0006788866259334691
54,1164.0,1,0.0006788866259334691
55,1192.0,1,0.0006788866259334691
56,1233.0,1,0.0006788866259334691
57,1269.0,1,0.0006788866259334691
58,1281.0,1,0.0006788866259334691
59,1286.0,1,0.0006788866259334691
60,1288.0,1,0.0006788866259334691
61,1338.0,1,0.0006788866259334691
62,1433.0,1,0.0006788866259334691
63,1463.0,1,0.0006788866259334691
64,1482.0,1,0.0006788866259334691
65,1564.0,1,0.0006788866259334691
66,1588.0,1,0.0006788866259334691
67,3930.0,1,0.0006788866259334691
68,4331.0,1,0.0006788866259334691
69,4332.0,1,0.0006788866259334691
70,4627.0,1,0.0006788866259334691
71,11555.0,1,0.0006788866259334691
72,16907.0,1,0.0006788866259334691
73,78991.0,1,0.0006788866259334691
74,87576.0,1,0.0006788866259334691
75,88929.0,1,0.0006788866259334691
76,90432.0,1,0.0006788866259334691
77,94820.0,1,0.0006788866259334691
78,96017.0,1,0.0006788866259334691
79,131952.0,1,0.0006788866259334691
80,223042.0,1,0.0006788866259334691
81,358818.0,1,0.0006788866259334691
